NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
oseng sawi telur,Meal,1 besar telur; 1 siung bawang putih; 1 kecil bawang merah; 50gramsawi hijau,"Oseng bawang merah dan bawang putih, | Masukkan sawi dan sedikit air, | Tambahkan telur, bumbui dengan garam dan merica,",113.07,7.87,5.15,212.0,9.54,1.6,4.0,105.0,306.0
oseng tahu,Meal,43grambawang bombay dimasak; 1 sejumput lada hitam; 1 sdm minyak wijen; 1 sdm saus tiram; 51gramkubis; 9gramdaun bawang; 1 sejumput garam laut; 250gramtahu; 1 sdm minyak jagung,"Iris bawang bombay, daun bawang, kubis sesuai selera, | Siapkan wajan anti lengket, beri corn oil lalu masukkan daun bawang tumis hingga harum, | Setelah itu masukkan bombay, tumis hingga harum, | Kecilkan api, masukkan tahu lalu lancurkan, Oseng hingga air tahu mengering, | Tambahkan minyak wijen, saus tiram, lada, garam oseng hingga tercampur rata selama 75 detik,",231.02,10.84,18.41,0.0,8.76,1.6,2.46,402.0,258.0
Oseng Tahu,Meal,tahu 150 g; bawang 10 g; cabai 10 g,Tumis tahu 150 g dengan bawang 10 g dan cabai 10 g hingga matang,971.0,10.19,18.64,0.0,9.42,2.5,2.21,405.0,121.0
oseng tahu buncis telur,Meal,1 sedang telur; 1 sdm cabai merah atau rawit; 200grambuncis; 1 siung bawang putih; 1 sdm minyak goreng; 181gramtahu; 4 g royco ayam; 3 ml saori saus teriyaki,"Panaskan minyak lalu masukkan bawang putih cincang, | Orak-arik telur, tambahkan tahu potong dadu dan dan sedikit air, | Tambahkan saus teriyaki, royco, dan cabai dan kacang buncis, Masak sebentar hingga matang,",76.97,4.89,4.9,37.0,4.68,1.8,1.1,304.0,162.0
oseng toge tahu telur,Meal,118gramtelur; 65gramkecambah; 5gramcabai merah atau rawit; 20grambawang putih; 3gramjahe; 1 sdm minyak goreng; 130gramtahu; 5 g kaldu jamur; 1 sdm kecap manis,"Potong dadu tahu, masukkan dalam wadah, | Kocok lepas telur, tuang kedalam tahu, | Panaskan minyak, tumis bawang putih, cabe rawit dan jahe hingga harum, | Tuang tahu dan telur, aduk-aduk hingga telur matang, | Masukkan toge, aduk aduk, | Bumbui dengan kecap manis dan kaldu jamur, tambahkan air sedikit, | Masak sampai bumbu meresap, | Oseng toge tahu telur siap disajikan,",487.08,29.79,29.7,499.0,29.12,3.7,14.59,593.0,621.0
paha ayam goreng tanpa pelapis (kulit dimakan),Meal,paha ayam 120 g; minyak 20 ml,Goreng paha ayam 120 g menggunakan minyak 20 ml hingga matang,119.02,13.6,6.79,56.0,0.0,0.0,0.0,211.0,116.0
paha ayam panggang,Meal,paha ayam 150 g,Panggang paha ayam 150 g hingga matang,244.98,24.85,15.36,92.0,0.0,0.0,0.0,406.0,220.0
paha ayam panggang (kulit dimakan),Meal,paha ayam 120 g,Panggang paha ayam 120 g bersama kulit hingga matang,134.8,13.67,8.45,51.0,0.0,0.0,0.0,223.0,121.0
paha ayam panggang atau goreng dengan kulit (kulit/lapisan dimakan),Meal,paha ayam 140 g,Panggang atau goreng paha ayam 140 g hingga matang,211.28,16.03,12.58,74.0,7.49,0.2,0.17,233.0,148.0
pai apel (satu kerak),Snack,apel 120 g; tepung 80 g; gula 30 g,Panggang apel 120 g dengan adonan tepung 80 g dan gula 30 g hingga matang,242.11,1.81,9.25,0.0,39.02,1.1,24.17,195.0,56.0
pakcoy dengan bawang putih,Meal,"sejumput garam; 1 sdt minyak wijen; 4 siung bawang putih; 1 sdt gula pasir; 1 sdm minyak goreng; 150grampakcoy; 3 g lada putih bubuk; 5,8 g saos tiram","Tumis bawang putih dengan minyak goreng, | Tambahkan saus tiram, garam, merica, Rebus pakcoy, | Tiriskan pakcoy, siram dengan kuah,",193.12,1.72,14.68,0.0,14.22,1.5,7.0,2629.0,236.0
pakcoy tahu,Meal,100gr pakcoy; 100gr tahu; 2 siung bawang putih; 1 sdm minyak goreng; sejumput garam,Tumis bawang putih hingga harum; masukkan tahu dan pakcoy; tambahkan garam; masak hingga pakcoy layu; sajikan,59.99,5.0,1.5,0.0,5.0,1.5,2.0,280.0,220.0
pake nasi rasa soto ayam,Meal,tidak tersedia / processed food / processed food / processed food,"Nasi instan rasa soto ayam, diseduh air panas",349.9,7.0,15.0,0.0,48.0,3.0,5.0,1370.0,0.0
pallubasa,Meal,daging sapi 80 g; santan 50 ml; bumbu 20 g,Masak daging sapi 80 g dengan santan 50 ml dan bumbu 20 g,82.93,10.63,3.09,24.0,2.65,0.1,1.18,391.0,173.0
pan pizza meat lovers (pizza hut),Meal,tidak tersedia / processed food / processed food / processed food,Pizza olahan siap saji dipanaskan sebelum disajikan,359.94,14.0,21.0,30.0,29.0,3.0,1.0,840.0,0.0
pan sarden pizza,Meal,2 siung bawang putih dimasak; 25grambawang bombay dimasak; 7gramragi; 10gramcabai merah atau rawit; 3/sejumput garam; 140 ml air; 7gramgula pasir; 1 sosis ayam; 1 1/2 sdm minyak goreng; 1 sdm madu; 75 g sarden saus tomat; 10 g cheddar; 1 sendok saus sambal; 32 g smoked beef; 60 g keju mozarella; 30 ml saus tomat; 125 g tepung segitiga biru,"Aduk air hangat, ragi, dan gula pasir hingga rata lalu diamkan hingga berbuih (2-3 menit), | Masukkan garam, madu, dan 1,5 sdm minyak dan aduk rata, | Tuang adukan ragi ke 250 gram tepung terigu, aduk hingga semua meyatu, | Alasi permukaan meja dengan minyak, Uleni adonan hingga, tidak perlu sampai kalis, | Pipihkan adonan dengan rolling pin seukuran pan yang digunakan, | Untuk topping pizza, tumis sosis dan smoked beef yang sudah dipotong sesuai selera, Kemudian sisihkan, | Tumis bawang putih dan bawang bombai yang sudah diiris hingga wangi, Masukkan sarden, irisan cabai rawit, saus sambal dan saus tomat, Masak hingga mengental, | Panaskan teflon baru di api sedang, olesi dengan minyak lalu panggang satu sisi pizza hingga matang (agak kecoklatan di beberapa bagian),",1244.01,54.05,44.59,27.0,159.81,4.7,34.04,3566.0,661.0
pancake buah naga,Snack,1 besar telur; 4 sendok makan instant oatmeal; 1 buah naga; 35 g susu,"Blender semua bahan jadi satu, | Panggang di atas teflon jadi beberapa bagian, | Angkat dan kasih toping naga,",185.0,6.0,6.0,55.0,28.0,2.0,8.0,72.0,220.0
pancake labu sederhana,Snack,"3 besar kuning telur; 600gramlabu; 5,2 g stevia sweetener; 30 g tepung tapioka; 30 g segitiga biru","Kukus Labu Kuning dan haluskan dg garpu sampe hancur, | Masukkan Tepung Terigu, Tapioka, Kuning Telur dan Stevia, | Panggang tanpa minyak di atas teflon dg api kecil per 1 sdm munjung, dibalik sampe matang merata,",38.71,1.47,1.3,52.0,6.33,0.2,1.08,2.0,175.0
pancake oat,Snack,20 g susu rendah lemak; 100 g putih telur; 35 g gandum,"Panaskan pan dengan api sedang, jika dikira sudah panas kecilkan api, | Campur rata semua bahan-bahan, jika mau tambahkan sweetener untuk pengganti gula jika ingin manis jika tidak juga gapapa, | Jika sudah tercampur rata semua bahan, tuang adonan ke pan yang sudah dipanaskan ingat dengan api kecil, tunggu sampai matang, Pancake oat siap di hidangkan, Bisa di tambahkan topping tapi yang sehat,",203.01,14.69,1.07,2.0,28.83,11.0,1.76,178.0,199.0
pancake pisang,Snack,1 besar telur; 75grampisang; 100 ml air; 80 g oatmeal; 2 scoops f1 shake mix french vanilla,"Hancurkan pisangnya, | Campur semua bahan dengan baik, | Tuang adonan ke dalam wajan anti lengket secara bertahap dan masak hingga kedua sisinya berwarna cokelat keemasan,",297.23,18.71,7.82,212.0,39.11,5.0,18.55,243.0,335.0
pancake protein oat,Snack,1 besar telur; 1/2gelasair; 35 g oat gulung biasa; 2 ml pemanis; 1 sendok air dadih coklat; 3 g bubuk pengembang,"Giling oat hingga menjadi bubuk lalu campurkan dengan bahan kering lainnya, | Campur semuanya sampai halus, | Masak dalam wajan antilengket sampai keras di kedua sisi,",86.56,8.57,1.62,68.0,8.3,2.8,0.84,38.0,17.0
pangsit goreng,Snack,pangsit 80 g; minyak 20 ml,Goreng pangsit 80 g menggunakan minyak 20 ml hingga matang,68.83,2.52,3.77,11.0,6.09,0.2,0.48,96.0,25.0
pangsit udang,Snack,udang 60 g; kulit pangsit 40 g,Kukus atau goreng udang 60 g dalam kulit pangsit 40 g,190.01,7.0,4.5,0.0,31.0,0.0,0.0,850.0,0.0
panzerotti dengan sayuran dan keju,Meal,tepung 100 g; sayur 80 g; keju 40 g,Panggang atau goreng adonan tepung 100 g berisi sayur 80 g dan keju 40 g,250.0,6.75,16.74,8.0,18.19,1.3,1.04,559.0,123.0
papaya yogurt with almonds,Snack,"1 mangkok, potong dadu pepaya; 5gramkacang almond; 1 sdm madu; 71 ml yogurt plain","Potong pepaya menjadi ukuran yang lebih kecil, kemudian sisihkan, | Cincang almond menjadi ukuran yang lebih kecil, | Masukkan yogurt ke dalam mangkok, | Tambahkan pepaya dan almond yang sudah dipotong, | Tambahkan juga madu, jika ingin lebih manis,",210.09,5.52,3.17,3.0,42.68,5.8,31.08,45.0,567.0
paru sapi goreng,Meal,paru sapi 120 g; minyak 25 ml,Goreng paru sapi 120 g menggunakan minyak 25 ml hingga matang,484.23,39.61,8.0,48.0,0.62,0.1,0.32,356.0,280.0
paru sapi goreng (rumah makan sederhana),Meal,tidak tersedia / processed food / processed food / processed food,Hidangan olahan paru sapi siap saji,266.01,21.79,20.08,27.0,0.34,0.0,0.18,196.0,23.0
pasta dengan sayuran,Meal,pasta 100 g; sayuran 120 g,Rebus pasta 100 g lalu campur dengan sayuran 120 g,309.99,11.18,3.67,0.0,57.71,6.2,3.45,598.0,223.0
pastry diisi dengan kentang dan kacang (goreng),Snack,tepung 100 g; kentang 80 g; kacang 30 g,Goreng pastry berisi kentang 80 g dan kacang 30 g,308.08,4.67,17.86,9.0,32.21,1.7,1.26,816.0,185.0
pecel sayur,Meal,sayuran 150 g; saus kacang 60 g,Sajikan sayuran 150 g dengan saus kacang 60 g,180.0,8.0,10.0,0.0,18.0,4.0,5.0,346.0,380.0
pempek kapal selam,Meal,ikan 120 g; tepung 80 g; telur 50 g,Rebus adonan ikan 120 g dan tepung 80 g berisi telur 50 g hingga matang,335.09,25.83,14.97,185.0,22.51,0.8,4.4,441.0,517.0
pengganti krim (cair),Snack,tidak tersedia / processed food / processed food / processed food,Produk krim cair olahan siap pakai,137.91,1.01,10.11,0.0,11.54,0.0,11.54,80.0,194.0
Pepaya,Snack,Tidak Tersedia,Tidak Tersedia,43.0,0.5,0.1,0.0,10.8,1.7,7.8,8.0,182.0
peperoni,Snack,daging sapi 60 g; rempah 10 g,Masak daging sapi 60 g dengan rempah 10 g hingga matang,25.57,1.12,2.22,6.0,0.22,0.1,0.04,98.0,17.0
pepes ayam,Meal,Ayam 100 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Siapkan daun pisang, lumuri ayam dengan bumbu halus, bungkus rapat, kukus selama 20 menit hingga matang",103.49,10.96,6.13,32.0,0.66,0.3,0.03,74.0,115.0
pepes ikan mas,Meal,Ikan mas 100 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Lumuri ikan dengan bumbu halus, bungkus dengan daun pisang, kukus selama 15–20 menit hingga matang, sajikan hangat",98.23,13.21,4.63,46.0,0.16,0.0,0.02,191.0,239.0
pepes jamur,Meal,Jamur 100 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Campur jamur dengan bumbu halus, bungkus daun pisang, kukus selama 10–15 menit hingga matang, sajikan hangat",67.4,2.88,4.12,0.0,6.47,1.9,1.59,173.0,316.0
pepes lele,Meal,Lele 100 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Lumuri lele dengan bumbu, bungkus daun pisang, kukus 20 menit hingga matang, sajikan hangat",131.93,16.02,6.02,54.0,2.78,0.2,1.17,170.0,372.0
pepes tahu,Meal,Tahu 100 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Campur tahu dengan bumbu, bungkus daun pisang, kukus 15 menit hingga matang, sajikan hangat",62.86,5.71,3.56,6.0,2.46,0.6,0.77,296.0,129.0
pepes tahu jamur,Meal,Tahu 50 g; Jamur 50 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Campur tahu dan jamur dengan bumbu halus, bungkus daun pisang, kukus 15 menit, sajikan hangat",103.01,8.38,5.95,62.0,5.87,1.5,1.18,145.0,244.0
pepes teri,Meal,Ikan teri 50 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Lumuri teri dengan bumbu halus, bungkus daun pisang, kukus 10–15 menit, sajikan hangat",34.18,4.38,1.05,12.0,1.63,0.2,0.49,67.0,103.0
pepes tongkol,Meal,Ikan tongkol 100 g; Bawang merah 5 g; Bawang putih 3 g; Cabai 2 g; sejumput; Daun pisang 1 lembar,"Lumuri ikan tongkol dengan bumbu, bungkus daun pisang, kukus 15–20 menit hingga matang, sajikan hangat",105.4,15.93,1.27,35.0,7.1,0.5,3.94,112.0,409.0
perdekel tahu bawang,Snack,1 besar telur; 10grambawang putih; 10gramdaun bawang; 15grambawang merah; 150gramtahu; 1 sdm virgin coconut oil,"Iris bawang-bawangan, kemudian panggang hingga harum, | Hancurkan tahu, tambahkan bawang-bawangan, | Masukan telur ke dalam adonan tahu, | Tambahkan garam, merica, dan kaldu jamur, | Panaskan 1sdm vco di teflon anti lengket, | Mulai dry frying adonan, kurleb 1 sdm adonan setiap goreng perkedel, | Tunggu hingga ke coklatan, dan angkat, Perkedel siap dinikmati,",42.31,2.4,3.44,26.0,1.22,0.1,0.27,11.0,40.0
perkedel ikan,Snack,"Ikan 50 g; Kentang 50 g; Minyak 10 ml; sejumput; Merica 0,5 g; Bawang putih 3 g","Rebus kentang hingga matang, haluskan bersama ikan, tambahkan bumbu, bentuk bulat, goreng dalam minyak panas hingga keemasan, tiriskan",33.94,1.4,1.6,2.0,3.47,0.2,0.36,62.0,28.0
perkedel jagung,Snack,"Jagung manis 80 g; Tepung terigu 20 g; Minyak 10 ml; sejumput; Merica 0,5 g","Campur jagung dengan tepung dan bumbu, bentuk bulat pipih, goreng dalam minyak panas hingga matang dan kecoklatan, tiriskan",91.06,1.87,5.4,29.0,9.45,1.0,1.15,117.0,71.0
perkedel kentang,Snack,"Kentang 50 g; Telur 20 g; Minyak 5 ml; Garam 0,5 g; Merica 0,2 g","Rebus kentang, haluskan, campur dengan telur dan bumbu, bentuk bulat pipih, goreng hingga keemasan, tiriskan",21.51,0.46,1.12,7.0,2.48,0.2,0.13,31.0,48.0
Perkedel Tahu,Snack,00gr tahu; 1 telur; bawang putih; daun bawang; sejumput garam; sejumput lada; minyak goreng ,"Hancurkan tahu; campur dengan telur, bawang putih, daun bawang, garam, dan lada; bentuk bulatan pipih; goreng hingga keemasan",85.0,4.6,3.06,19.0,7.17,0.7,1.01,136.0,80.0
perkedel tempe,Snack,Tempe 50 g; Bawang merah 5 g; Bawang putih 3 g; Minyak 10 ml; sejumput,"Haluskan tempe, campur bumbu, bentuk bulat pipih, goreng dalam minyak panas hingga matang, tiriskan",99.67,5.03,6.05,44.0,7.0,0.4,0.64,92.0,124.0
Persik,Snack,Tidak Tersedia,Tidak Tersedia,39.0,0.9,0.3,0.0,9.5,1.5,8.4,0.0,190.0
petis udang,Snack,"Udang 50 g; Gula 20 g; garam 0,2 g; Air 50 ml","Masak udang dengan air hingga matang, tambahkan gula dan garam, masak sambil diaduk hingga kental, dinginkan, sajikan sebagai pelengkap",70.03,5.0,0.5,95.0,12.0,0.0,8.0,200.0,0.0
piattos rasa sapi panggang,Snack,tidak tersedia / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food,99.9,1.0,5.0,0.0,12.0,1.0,0.0,170.0,0.0
piattos sapi panggang,Snack,tidak tersedia / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food,80.07,1.0,4.0,0.0,10.0,1.0,1.0,105.0,0.0
pilus keju panggang,Snack,tidak tersedia / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food,99.9,1.0,5.0,0.0,13.0,0.0,1.0,270.0,0.0
pilus sapi panggang,Snack,tidak tersedia / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food,34.89,0.0,1.5,0.0,5.0,0.0,0.0,55.0,0.0
Pir,Snack,Tidak Tersedia,Tidak Tersedia,57.0,0.4,0.1,0.0,15.2,3.1,9.8,1.0,116.0
Pisang,Snack,Tidak Tersedia,Tidak Tersedia,89.0,1.1,0.3,0.0,22.8,2.6,12.2,1.0,358.0
pisang coklat,Snack,Pisang 100 g; Cokelat 20 g,"Goreng pisang, beri cokelat leleh di atasnya, sajikan hangat",178.78,3.43,8.57,23.0,22.36,1.3,8.99,116.0,144.0
pisang goreng,Snack,Pisang 100 g; Minyak 10 ml,"Goreng pisang dalam minyak panas hingga kecokelatan, tiriskan",68.12,0.4,3.58,0.0,9.74,0.7,4.58,1.0,137.0
pisang goreng madu,Snack,Pisang 100 g; Madu 10 g; Minyak 10 ml,"Goreng pisang, angkat, siram dengan madu, sajikan hangat",215.34,1.25,4.92,0.0,45.98,2.1,28.78,5.0,466.0
pisang keju,Snack,Pisang 100 g; Keju 20 g,"Goreng pisang, taburi atau isi dengan keju, sajikan hangat",249.76,8.62,13.64,21.0,25.53,1.6,9.45,158.0,342.0
pizza baguette beef bolognese,Meal,Roti baguette 100 g; Daging cincang 50 g; Saus tomat 20 g,"Belah roti, beri saus dan daging, panggang 10 menit hingga matang",229.92,11.0,8.0,0.0,28.0,0.0,2.0,740.0,0.0
pizza beef pepperoni,Meal,Tepung 100 g; Daging 50 g; Keju 30 g,"Uleni adonan, beri topping daging dan keju, panggang 12–15 menit hingga matang",90.11,4.0,3.0,0.0,12.0,0.0,1.0,240.0,0.0
pizza daging dan sayuran (36 cm),Meal,Tepung 100 g; Daging 50 g; Sayur 50 g,"Uleni adonan, beri topping daging dan sayur, panggang 15–20 menit hingga matang",331.74,14.99,14.82,37.0,34.52,3.0,5.07,801.0,250.0
pizza daging sapi asap (smoked beef pizza),Meal,Tepung 100 g; Smoked beef 50 g; Keju 30 g,"Siapkan adonan, beri topping smoked beef dan keju, panggang hingga matang",150.1,6.0,6.0,10.0,17.0,2.0,3.0,400.0,0.0
pizza dengan daging,Meal,Tepung 100 g; Daging 50 g,"Uleni adonan, beri topping daging, panggang hingga matang",264.82,10.64,12.14,21.0,27.68,1.4,1.77,610.0,181.0
pizza dengan daging dan buah,Meal,Tepung 100 g; Daging 50 g; Buah 50 g,"Uleni adonan, beri daging dan buah, panggang hingga matang",248.33,10.74,8.96,16.0,31.06,1.7,4.21,627.0,212.0
pizza dengan daging dan sayuran,Meal,Tepung 100 g; Daging 50 g; Sayur 50 g,"Uleni adonan, beri daging dan sayur, panggang hingga matang",276.53,10.97,12.61,22.0,29.61,1.8,2.45,646.0,224.0
pizza keju,Meal,Tepung 100 g; Keju 50 g,"Uleni adonan, beri keju, panggang hingga keju meleleh",237.33,10.6,10.1,21.0,26.08,1.6,3.06,462.0,138.0
pizza keju (36 cm),Meal,Tepung 100 g; Keju 80 g,"Uleni adonan, beri keju, panggang hingga matang",271.99,12.27,9.8,22.0,33.56,1.8,4.14,551.0,159.0
"pizza keju (36 cm, kerak tebal)",Meal,Tepung 100 g; Keju 80 g,"Uleni adonan dengan kerak tebal, beri keju, panggang hingga matang",288.24,12.72,11.65,25.0,33.21,1.9,3.37,565.0,166.0
"pizza keju (36 cm, kerak tipis)",Meal,Tepung 100 g; Keju 80 g,"Uleni adonan tipis, beri keju, panggang hingga matang",191.44,8.93,9.88,22.0,16.72,1.3,1.94,366.0,110.0
pizza keju dengan sayuran,Meal,Tepung 100 g; Keju 50 g; Sayur 50 g,"Uleni adonan, beri keju dan sayur, panggang hingga matang",241.4,9.33,8.95,10.0,30.93,1.9,2.56,546.0,204.0
pizza keju dengan sayuran kerak tipis,Meal,Tepung 100 g; Keju 50 g; Sayur 50 g,"Uleni adonan tipis, beri topping keju dan sayur, panggang 12–15 menit",202.44,8.59,8.11,11.0,23.99,1.7,2.51,502.0,200.0
pizza keju kerak tebal,Meal,Tepung 100 g; Keju 80 g,"Uleni adonan dengan kerak tebal, panggang, beri keju di atasnya",256.45,11.47,10.02,21.0,30.07,1.8,3.38,511.0,153.0
pizza keju kerak tipis,Meal,Tepung 100 g; Keju 80 g,"Uleni adonan tipis, panggang, beri keju di atasnya",207.93,9.25,9.27,18.0,21.79,1.4,2.63,397.0,120.0
pizza kerak tipis dengan daging,Meal,Tepung 100 g; Daging 50 g,"Uleni adonan tipis, beri topping daging, panggang 12 menit hingga matang",222.75,9.72,11.16,21.0,20.56,1.1,1.65,555.0,171.0
pizza kerak tipis dengan daging dan sayuran,Meal,Tepung 100 g; Daging 50 g; Sayur 50 g,"Uleni adonan tipis, beri daging dan sayur, panggang 12–15 menit hingga matang",244.02,10.26,11.87,22.0,22.8,1.7,2.39,615.0,219.0
pizza oatmeal teflon,Meal,"25gramkeju mozzarella; 40gramdaging kornet; 1 sdt, tumbuk oregano; 100 g instant oatmeal; 2 sdm saus sambal; 1/4 sedang bawang bombay","Uleni oatmeal dengan sedikit air, | Letakkan ke teflon, | Beri saos lalu beri toping, | Tambahkan oregano dan parutan mozzarella, | Tunggu 30 menit dgn ditutup dan api kecil,",162.27,7.12,5.7,13.0,21.38,2.4,2.84,334.0,38.0
pizza pepperoni (36 cm),Meal,Tepung 100 g; Pepperoni 50 g; Keju 80 g,"Uleni adonan, beri topping pepperoni dan keju, panggang 15 menit",298.04,13.32,12.13,29.0,33.98,1.6,4.11,683.0,186.0
"pizza pepperoni (36 cm, kerak keras)",Meal,Tepung 100 g; Pepperoni 50 g; Keju 80 g,"Uleni adonan, beri topping pepperoni dan keju, panggang hingga kerak keras",301.15,13.18,13.24,30.0,32.22,1.9,3.2,654.0,181.0
"pizza pepperoni (beku, dimasak)",Meal,Tidak tersedia / processed food,Panggang atau masak sesuai petunjuk kemasan,432.12,16.37,22.19,22.0,41.62,3.2,0.0,902.0,289.0
pizza putih,Meal,Tepung 100 g; Keju 50 g,"Uleni adonan, beri keju, panggang hingga matang",273.9,11.14,9.69,21.0,34.66,1.3,0.71,511.0,75.0
pizzabc,Meal,Tidak tersedia / processed food,Panggang sesuai petunjuk kemasan,280.11,13.0,20.0,0.0,13.0,0.0,1.0,750.0,0.0
plant based whopper (burger king),Meal,Tidak tersedia / processed food,Panggang atau sajikan sesuai petunjuk kemasan,555.93,23.6,27.4,0.0,54.8,0.0,12.8,1000.0,0.0
Plum,Snack,Tidak Tersedia,Tidak Tersedia,46.0,0.7,0.3,0.0,11.4,1.4,9.9,0.0,157.0
pocket sandwich peanut,Snack,Roti 50 g; Selai kacang 20 g,"Susun roti dengan selai kacang, sajikan",179.97,5.0,8.0,0.0,21.0,0.0,4.0,230.0,0.0
pokcoy ayam saus tiram,Meal,1 sejumput lada hitam; 200gramdaging dada ayam (ayam pedaging); 1 siung bawang putih; 1 sdt jahe; 100 ml air; 150grampakcoy; 15 ml kecap manis light; 10 g tepung pati jagung; 15 g saos tiram; 1 bawang bombay,"Larutkan maizena dengan sedikit air, | Didihkan air dan rebus pokcoy selama 2 menit, Hapus dari panas dan tiriskan, | Dalam wajan panas, tumis bawang putih, jahe, dan bawang bombay hingga harum, | Masukkan ayam yang sudah dipotong-potong ke dalam wajan dan masak hingga berubah warna, | Tambahkan saus tiram, kecap asin, merica, air, dan tepung maizena yang sudah dilarutkan, | Aduk, biarkan bumbu meresap dan angkat dari api, | Tata pokcoy di piring dan tuangkan di atas ayam yang sudah dimasak,",93.39,13.62,0.76,33.14,7.25,0.46,3.19,286.0,217.71
pokcoy kuah pedas,Meal,100gramdada ayam; 1 besar telur; 10gramcabai merah atau rawit; 1/2 sdt minyak wijen; 2 siung bawang putih; 1/2gelasair; 1/2 sdt gula pasir; 1 sejumput garam laut; 2 kecil bawang merah; 1 sdm kecap manis; 100grampakcoy; 15 g saus sambal; 1 g royco ayam; 5 ml minyak kelapa; 1 g lada putih bubuk; 50gramjamur kancing; 150gramtahu susu,"Rebus air dan sedikit garam, masukan pakcoy, tisirkan, tata dipiring, | Tumis bawang putih dan bawang merah dengan minyak kelapa sampai sedikit layu, Masukkan butir telur ayam biarkan matang, dibalik baru di orak arik, masukkan cabai, tumis sampai harum, | Masukkan ayam dan jamur kancing sampai ayam matang (berubah warna), Tambahkan garam, lada, royco, dan gula pasir, | Masukkan saus sambal, kecap manis, minyak wijen, aduk sampai rata, tambahkan air sesuai selera kemudian test rasa, | Terakhir masukkan tahu sebentar tidak usah diaduk-aduk, tunggu sampai air sedikit berkurang, Matikan api kompor, siram diatas pokcoy,",81.76,6.88,3.34,37.18,6.17,0.71,3.46,259.53,136.71
pokcoy siram jamur enoki,Meal,80gramdaging babi; 1 sdm margarin; 10gramkaldu jamur; 1 sejumput lada hitam; 480grampakcoy; 80 g jamur enoki; 100 g egg tofu; 1/2 sedang bawang bombay,"Rebus pokcoy d air mendidih yang d tambah garam, | Lelehkan margarin dan tumus bawang bombay hingga layu, | Masukkan daging babi dan tumis hingga berubah warna, | Beri sedikit air bumbui dengan lada hitam dan kaldu jamur aduk rata, | Masukkan jamur enoki, aduk rata hingga layu koreksi rasa, | Tata pokcoy yg sudah d rebus d atas piring, Siram dengan tumisan jamur,",116.44,8.06,7.38,18.0,5.65,1.7,2.32,148.0,233.0
polenta goreng,Snack,Tepung jagung 100 g; Minyak 10 ml,"Bentuk polenta, goreng dalam minyak hingga matang",76.48,1.77,0.35,0.0,16.24,1.5,0.13,38.0,34.0
polenta panggang atau rebus,Meal,Tepung jagung 100 g; Air 50 ml,"Bentuk adonan, panggang atau rebus hingga matang",43.5,1.01,0.2,0.0,9.23,0.9,0.08,49.0,19.0
pop mie (indomie),Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,179.97,4.0,9.0,0.0,22.0,2.0,1.0,500.0,0.0
pop mie mini rasa soto mie,Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,169.93,3.0,8.0,0.0,22.0,2.0,3.0,600.0,0.0
pop mie rasa ayam (indomie),Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,320.03,9.0,11.0,0.0,46.0,3.0,5.0,1030.0,0.0
pop mie rasa soto ayam,Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,349.9,7.0,15.0,0.0,48.0,3.0,5.0,1370.0,0.0
pop spageti (indomie),Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,340.11,12.0,11.0,5.0,50.0,3.0,5.0,910.0,0.0
pop spageti spicy bolognese (indomie),Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,340.11,12.0,11.0,5.0,50.0,3.0,5.0,1100.0,0.0
pop spageti spicy carbonara (indomie),Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,280.11,10.0,2.5,5.0,54.0,3.0,9.0,930.0,0.0
popmie goreng pedes gledek,Meal,Tidak tersedia / processed food,Goreng sesuai petunjuk kemasan,369.98,6.0,18.0,0.0,45.0,2.0,6.0,930.0,0.0
popmie rasa baso (indomie),Meal,Tidak tersedia / processed food,Rebus sesuai petunjuk kemasan,359.94,8.0,15.0,0.0,47.0,3.0,5.0,720.0,0.0
